Transaction,Item
168,Kendrick Lamar
168,"Tyler, the Creator"
169,Jay-Z
169,Kanye West
169,Led Zeppelin
169,Kendrick Lamar
170,Queen
170,Kanye West
171,Led Zeppelin
171,Queen
171,Black Sabbath
171,Deep Purple
172,Queen
173,Scorpions
173,Queen
173,Led Zeppelin
174,"Tyler, the Creator"
175,Deep Purple
175,Black Sabbath
175,Led Zeppelin
176,Led Zeppelin
176,2pac
177,Kanye West
177,Kendrick Lamar
178,Queen
179,Kanye West
179,Led Zeppelin
179,Kendrick Lamar
180,Led Zeppelin
180,Deep Purple
181,Led Zeppelin
181,Kendrick Lamar
182,Led Zeppelin
182,Queen
182,Deep Purple
183,"Tyler, the Creator"
183,Kanye West
184,Led Zeppelin
185,Kendrick Lamar
185,2pac
185,Jay-Z
186,"Tyler, the Creator"
186,Led Zeppelin
186,Kendrick Lamar
187,"Tyler, the Creator"
187,Kendrick Lamar
188,Black Sabbath
188,Led Zeppelin
188,Jay-Z
189,2pac
189,Kanye West
189,Queen
190,Black Sabbath
191,Jay-Z
191,2pac
191,Kendrick Lamar
192,Jay-Z
193,2pac
193,Queen
193,"Tyler, the Creator"
193,Led Zeppelin
194,Kendrick Lamar
194,Queen
195,Kanye West
195,Queen
196,Led Zeppelin
196,Kendrick Lamar
197,Kendrick Lamar
197,"Tyler, the Creator"
197,Jay-Z
198,Queen
198,Kanye West
198,Deep Purple
199,Led Zeppelin
199,"Tyler, the Creator"
199,Black Sabbath
199,Deep Purple
200,Kendrick Lamar
200,Queen
200,"Tyler, the Creator"
200,Led Zeppelin
201,Kendrick Lamar
201,Kanye West
201,Jay-Z
202,Kendrick Lamar
202,Kanye West
202,2pac
203,Deep Purple
203,Kanye West
204,Kanye West
204,Kendrick Lamar
205,"Tyler, the Creator"
205,Kendrick Lamar
206,Queen
206,Black Sabbath
207,Led Zeppelin
208,Kanye West
208,"Tyler, the Creator"
209,Queen
209,Black Sabbath
209,2pac
210,Black Sabbath
210,Scorpions
210,Queen
211,Queen
211,Black Sabbath
211,Deep Purple
212,"Tyler, the Creator"
213,2pac
213,Queen
213,"Tyler, the Creator"
213,Kendrick Lamar
214,"Tyler, the Creator"
214,Kanye West
215,Black Sabbath
215,"Tyler, the Creator"
216,Kendrick Lamar
216,Black Sabbath
217,Kanye West
217,2pac
218,Queen
218,Black Sabbath
218,Led Zeppelin
219,Scorpions
220,Kendrick Lamar
220,Kanye West
220,"Tyler, the Creator"
221,Kendrick Lamar
221,Kanye West
221,"Tyler, the Creator"
222,"Tyler, the Creator"
223,Kanye West
223,Kendrick Lamar
224,Kendrick Lamar
224,Kanye West
225,Black Sabbath
225,Queen
226,"Tyler, the Creator"
226,Kanye West
226,Jay-Z
227,Kanye West
227,Black Sabbath
228,Scorpions
228,Queen
228,Black Sabbath
228,2pac
229,"Tyler, the Creator"
229,Led Zeppelin
230,Queen
230,Black Sabbath
230,2pac
230,Led Zeppelin
231,Queen
231,"Tyler, the Creator"
231,Led Zeppelin
231,Kendrick Lamar
232,Queen
232,Black Sabbath
233,Kendrick Lamar
233,"Tyler, the Creator"
234,Kendrick Lamar
235,"Tyler, the Creator"
235,Deep Purple
235,Led Zeppelin
235,Kendrick Lamar
236,Scorpions
236,Led Zeppelin
237,Led Zeppelin
238,Kendrick Lamar
239,Scorpions
239,Queen
240,Kendrick Lamar
240,Jay-Z
241,Led Zeppelin
241,Queen
241,Deep Purple
242,Deep Purple
242,Kanye West
242,Led Zeppelin
242,Kendrick Lamar
243,2pac
244,"Tyler, the Creator"
245,Led Zeppelin
245,Deep Purple
246,"Tyler, the Creator"
246,Black Sabbath
247,Black Sabbath
247,Led Zeppelin
247,Kendrick Lamar
248,2pac
248,"Tyler, the Creator"
249,Queen
249,Led Zeppelin
250,Black Sabbath
250,Queen
250,Led Zeppelin
250,2pac
251,2pac
251,"Tyler, the Creator"
252,Kanye West
252,Queen
252,"Tyler, the Creator"
252,Kendrick Lamar
253,Kendrick Lamar
253,Led Zeppelin
253,Jay-Z
254,Queen
254,Led Zeppelin
255,Jay-Z
255,Deep Purple
256,Queen
257,"Tyler, the Creator"
258,"Tyler, the Creator"
258,Queen
258,Kanye West
259,Queen
259,Led Zeppelin
260,Kendrick Lamar
260,Queen
260,Led Zeppelin
261,Jay-Z
261,"Tyler, the Creator"
261,Kendrick Lamar
262,Kanye West
262,Queen
262,Kendrick Lamar
263,Queen
263,Deep Purple
263,Led Zeppelin
263,Kendrick Lamar
264,Queen
264,Black Sabbath
265,Kendrick Lamar
266,Deep Purple
266,Led Zeppelin
267,Led Zeppelin
267,Queen
268,"Tyler, the Creator"
268,Kendrick Lamar
269,Black Sabbath
269,Queen
269,Led Zeppelin
270,"Tyler, the Creator"
270,Kanye West
270,Scorpions
271,Kanye West
272,Deep Purple
272,Led Zeppelin
273,2pac
273,Scorpions
273,"Tyler, the Creator"
274,Kendrick Lamar
274,Queen
274,2pac
274,Kanye West
275,Queen
275,Black Sabbath
275,Kendrick Lamar
275,Deep Purple
276,Black Sabbath
276,Queen
276,Deep Purple
277,Deep Purple
277,Scorpions
277,Led Zeppelin
277,2pac
278,Queen
279,Scorpions
280,Queen
280,Jay-Z
280,Black Sabbath
280,Deep Purple
281,Kendrick Lamar
281,Queen
281,"Tyler, the Creator"
282,Scorpions
282,"Tyler, the Creator"
282,Led Zeppelin
283,Kendrick Lamar
283,"Tyler, the Creator"
283,Led Zeppelin
284,Kanye West
284,2pac
284,Kendrick Lamar
285,Led Zeppelin
285,Kendrick Lamar
285,2pac
285,Jay-Z
286,Led Zeppelin
286,Black Sabbath
287,Deep Purple
287,Queen
287,Black Sabbath
288,Scorpions
289,Queen
289,Scorpions
289,Led Zeppelin
289,Deep Purple
290,Kendrick Lamar
290,Queen
290,"Tyler, the Creator"
290,Jay-Z
291,Queen
291,Led Zeppelin
291,Black Sabbath
292,"Tyler, the Creator"
292,Scorpions
293,Led Zeppelin
293,Black Sabbath
293,Deep Purple
294,"Tyler, the Creator"
294,Kanye West
294,Deep Purple
294,Kendrick Lamar
295,Deep Purple
295,Queen
295,Led Zeppelin
296,Led Zeppelin
296,Kendrick Lamar
297,Kendrick Lamar
297,Black Sabbath
298,2pac
298,Kanye West
298,Led Zeppelin
298,Kendrick Lamar
299,Kendrick Lamar
299,Queen
299,"Tyler, the Creator"
300,"Tyler, the Creator"
300,Kanye West
301,Queen
301,Black Sabbath
301,Led Zeppelin
301,Deep Purple
302,Led Zeppelin
302,Queen
303,Deep Purple
303,Queen
304,Kendrick Lamar
304,Kanye West
305,Black Sabbath
306,Kendrick Lamar
307,Kendrick Lamar
307,Kanye West
308,Kendrick Lamar
308,"Tyler, the Creator"
309,Black Sabbath
309,Deep Purple
310,Queen
310,Scorpions
310,Black Sabbath
310,Deep Purple
311,Queen
311,Black Sabbath
311,Deep Purple
312,Kendrick Lamar
313,Led Zeppelin
313,Queen
313,"Tyler, the Creator"
314,"Tyler, the Creator"
314,Kanye West
315,Kendrick Lamar
315,Kanye West
316,Kanye West
316,"Tyler, the Creator"
317,Queen
317,Led Zeppelin
318,Led Zeppelin
319,Kendrick Lamar
319,Queen
319,"Tyler, the Creator"
320,Kanye West
320,Scorpions
320,2pac
321,"Tyler, the Creator"
321,Led Zeppelin
321,Kendrick Lamar
322,Queen
322,Black Sabbath
322,2pac
322,Led Zeppelin
323,Kendrick Lamar
323,Kanye West
323,"Tyler, the Creator"
323,2pac
324,Queen
324,Kanye West
325,2pac
325,Kanye West
326,Queen
326,Kendrick Lamar
327,Kendrick Lamar
327,"Tyler, the Creator"
327,Led Zeppelin
328,Kanye West
328,"Tyler, the Creator"
328,Black Sabbath
329,Black Sabbath
329,Queen
330,2pac
330,Black Sabbath
331,Kendrick Lamar
332,Kendrick Lamar
333,2pac
333,Kanye West
334,Kendrick Lamar
334,Jay-Z
334,Deep Purple
335,Deep Purple
336,Scorpions
337,Kanye West
337,"Tyler, the Creator"
338,Kanye West
338,Queen
339,2pac
340,Led Zeppelin
340,Queen
340,2pac
341,Led Zeppelin
341,Queen
341,"Tyler, the Creator"
341,Scorpions
342,Queen
343,"Tyler, the Creator"
343,Kanye West
343,Deep Purple
344,Kendrick Lamar
344,Kanye West
344,"Tyler, the Creator"
344,Jay-Z
345,"Tyler, the Creator"
345,Kanye West
346,Led Zeppelin
346,Queen
347,Deep Purple
347,Queen
347,Black Sabbath
348,Scorpions
348,Queen
348,Led Zeppelin
348,Deep Purple
349,Led Zeppelin
350,Kanye West
350,Kendrick Lamar
351,Queen
352,2pac
352,Scorpions
353,Queen
353,"Tyler, the Creator"
353,Led Zeppelin
353,Deep Purple
354,Kanye West
354,Scorpions
354,2pac
355,"Tyler, the Creator"
355,Led Zeppelin
355,2pac
356,Kendrick Lamar
357,Kanye West
357,Kendrick Lamar
358,Led Zeppelin
358,"Tyler, the Creator"
358,Black Sabbath
358,2pac
359,Jay-Z
359,Kanye West
359,Kendrick Lamar
360,Queen
360,Black Sabbath
361,"Tyler, the Creator"
361,Kanye West
361,Kendrick Lamar
362,Led Zeppelin
363,Kanye West
364,Kendrick Lamar
364,Kanye West
365,Kendrick Lamar
365,Kanye West
365,"Tyler, the Creator"
365,2pac
366,Jay-Z
366,Kanye West
367,Kanye West
367,"Tyler, the Creator"
367,Kendrick Lamar
368,"Tyler, the Creator"
368,Kanye West
368,2pac
369,Black Sabbath
369,Led Zeppelin
370,Led Zeppelin
370,Queen
371,Queen
372,Black Sabbath
373,Kanye West
373,"Tyler, the Creator"
373,Black Sabbath
374,Kendrick Lamar
375,Kendrick Lamar
375,"Tyler, the Creator"
376,Scorpions
377,Kendrick Lamar
377,Led Zeppelin
377,Black Sabbath
378,Black Sabbath
378,"Tyler, the Creator"
378,Led Zeppelin
378,Kendrick Lamar
379,"Tyler, the Creator"
379,Kendrick Lamar
379,2pac
379,Jay-Z
380,Queen
381,Kendrick Lamar
381,Queen
381,"Tyler, the Creator"
382,Kanye West
383,Queen
383,Black Sabbath
383,Led Zeppelin
384,"Tyler, the Creator"
385,Kendrick Lamar
386,Kanye West
386,Kendrick Lamar
387,Queen
387,Scorpions
388,Kendrick Lamar
388,"Tyler, the Creator"
388,2pac
388,Jay-Z
389,Kendrick Lamar
389,Led Zeppelin
389,Deep Purple
390,Black Sabbath
390,Led Zeppelin
391,Led Zeppelin
391,Queen
391,Black Sabbath
391,Deep Purple
392,Queen
392,Deep Purple
393,Queen
393,Led Zeppelin
394,Kendrick Lamar
394,Kanye West
394,"Tyler, the Creator"
395,Kendrick Lamar
395,Kanye West
395,"Tyler, the Creator"
396,Black Sabbath
396,Queen
397,"Tyler, the Creator"
397,Kanye West
398,Black Sabbath
398,Led Zeppelin
399,Kendrick Lamar
399,Queen
399,2pac
400,Jay-Z
400,Queen
400,"Tyler, the Creator"
400,Kendrick Lamar
401,Queen
401,Deep Purple
401,Jay-Z
402,Queen
402,Kanye West
402,Led Zeppelin
403,Queen
403,Kendrick Lamar
404,Led Zeppelin
404,Queen
404,Black Sabbath
405,"Tyler, the Creator"
405,Kanye West
405,Deep Purple
405,Kendrick Lamar
406,2pac
406,"Tyler, the Creator"
406,Led Zeppelin
407,"Tyler, the Creator"
407,Queen
408,Black Sabbath
408,Scorpions
409,Queen
409,Deep Purple
410,Deep Purple
411,Deep Purple
411,Queen
411,Led Zeppelin
412,Queen
412,"Tyler, the Creator"
412,Black Sabbath
413,Led Zeppelin
413,Black Sabbath
413,Kendrick Lamar
414,Jay-Z
414,Kanye West
414,"Tyler, the Creator"
414,Scorpions
415,Queen
416,Queen
417,Led Zeppelin
417,Kanye West
417,Deep Purple
418,Queen
419,Queen
419,2pac
420,Black Sabbath
420,Queen
420,"Tyler, the Creator"
421,2pac
421,Kendrick Lamar
422,Scorpions
422,Led Zeppelin
423,Kanye West
423,Led Zeppelin
423,Kendrick Lamar
424,"Tyler, the Creator"
424,2pac
424,Kendrick Lamar
425,Led Zeppelin
425,Black Sabbath
425,Deep Purple
426,Led Zeppelin
427,Kanye West
427,Deep Purple
428,Kanye West
428,"Tyler, the Creator"
428,Kendrick Lamar
428,Jay-Z
429,Deep Purple
429,Black Sabbath
429,Led Zeppelin
430,Black Sabbath
430,Led Zeppelin
431,Kanye West
431,"Tyler, the Creator"
432,2pac
432,"Tyler, the Creator"
432,Black Sabbath
433,2pac
434,Kendrick Lamar
434,Queen
434,"Tyler, the Creator"
435,Black Sabbath
436,Kanye West
436,"Tyler, the Creator"
436,Kendrick Lamar
437,Black Sabbath
438,Queen
438,Led Zeppelin
438,Deep Purple
439,Deep Purple
439,Queen
439,Black Sabbath
439,2pac
440,Queen
441,Led Zeppelin
442,Led Zeppelin
442,Queen
442,Scorpions
443,Queen
444,Black Sabbath
445,Queen
446,Led Zeppelin
447,Led Zeppelin
447,Queen
447,Deep Purple
448,Queen
448,"Tyler, the Creator"
448,Kendrick Lamar
449,Kendrick Lamar
449,Kanye West
450,Led Zeppelin
450,Queen
451,"Tyler, the Creator"
452,Kanye West
452,Queen
453,Kanye West
453,"Tyler, the Creator"
453,Kendrick Lamar
454,Deep Purple
454,Scorpions
454,Led Zeppelin
454,Jay-Z
455,Kendrick Lamar
455,Deep Purple
456,Led Zeppelin
457,Kanye West
457,2pac
458,"Tyler, the Creator"
458,Jay-Z
458,Kendrick Lamar
459,Queen
459,Black Sabbath
459,2pac
460,Kendrick Lamar
460,"Tyler, the Creator"
460,Led Zeppelin
461,Kanye West
461,Jay-Z
461,2pac
461,Kendrick Lamar
462,"Tyler, the Creator"
462,Kanye West
463,Black Sabbath
463,Kendrick Lamar
464,Scorpions
464,Deep Purple
465,"Tyler, the Creator"
465,Jay-Z
466,Queen
466,Led Zeppelin
467,Kendrick Lamar
467,"Tyler, the Creator"
467,Black Sabbath
468,"Tyler, the Creator"
469,Jay-Z
469,Scorpions
469,2pac
469,Kendrick Lamar
470,Deep Purple
471,"Tyler, the Creator"
472,Black Sabbath
473,Queen
473,Black Sabbath
474,"Tyler, the Creator"
475,Deep Purple
475,Kanye West
476,Queen
476,Kanye West
477,Queen
477,Kendrick Lamar
477,Jay-Z
478,Kendrick Lamar
478,2pac
479,Kanye West
480,Led Zeppelin
480,Queen
480,"Tyler, the Creator"
480,Kendrick Lamar
481,Scorpions
481,Deep Purple
482,Led Zeppelin
482,Black Sabbath
482,2pac
482,Kendrick Lamar
483,"Tyler, the Creator"
483,Jay-Z
484,Kendrick Lamar
484,Kanye West
484,Queen
484,Deep Purple
485,Jay-Z
485,Kanye West
485,2pac
485,Kendrick Lamar
486,Deep Purple
486,2pac
487,Queen
487,Scorpions
487,"Tyler, the Creator"
488,Kendrick Lamar
488,Kanye West
488,"Tyler, the Creator"
489,Kendrick Lamar
489,Kanye West
489,Jay-Z
490,Kendrick Lamar
490,Kanye West
490,2pac
491,Queen
491,Led Zeppelin
491,Deep Purple
492,Jay-Z
492,Queen
493,Led Zeppelin
493,Queen
493,Kendrick Lamar
494,Queen
495,Kendrick Lamar
495,Black Sabbath
495,2pac
496,2pac
496,Led Zeppelin
496,Kendrick Lamar
497,"Tyler, the Creator"
498,"Tyler, the Creator"
498,Kanye West
498,Led Zeppelin
498,Kendrick Lamar
499,"Tyler, the Creator"
499,Kanye West
499,2pac
499,Kendrick Lamar
500,2pac
500,"Tyler, the Creator"
500,Kendrick Lamar
501,2pac
501,"Tyler, the Creator"
501,Kendrick Lamar
502,Queen
502,Kanye West
502,"Tyler, the Creator"
502,Led Zeppelin
503,Queen
504,Kendrick Lamar
505,Deep Purple
505,Black Sabbath
506,Led Zeppelin
506,Black Sabbath
506,Kendrick Lamar
507,"Tyler, the Creator"
507,2pac
508,Kanye West
508,Queen
508,"Tyler, the Creator"
509,Black Sabbath
509,Led Zeppelin
510,Kendrick Lamar
511,Kendrick Lamar
512,Kendrick Lamar
513,Kendrick Lamar
513,Scorpions
513,Queen
513,2pac
514,Led Zeppelin
514,Kanye West
514,"Tyler, the Creator"
515,Queen
515,Black Sabbath
515,Led Zeppelin
515,Deep Purple
516,Led Zeppelin
516,Scorpions
516,Black Sabbath
517,2pac
518,Queen
519,Queen
519,2pac
520,"Tyler, the Creator"
520,Kanye West
520,Kendrick Lamar
521,"Tyler, the Creator"
522,Led Zeppelin
523,"Tyler, the Creator"
524,2pac
524,Black Sabbath
524,Led Zeppelin
524,Kendrick Lamar
525,Black Sabbath
525,Led Zeppelin
526,Black Sabbath
526,Led Zeppelin
527,Kendrick Lamar
527,Kanye West
527,2pac
528,Black Sabbath
528,Scorpions
528,Led Zeppelin
528,2pac
529,"Tyler, the Creator"
529,2pac
529,Jay-Z
530,Scorpions
530,Led Zeppelin
530,Kendrick Lamar
531,"Tyler, the Creator"
531,Kendrick Lamar
532,"Tyler, the Creator"
533,Kendrick Lamar
533,Black Sabbath
533,Led Zeppelin
534,Queen
534,"Tyler, the Creator"
535,Deep Purple
535,Led Zeppelin
536,"Tyler, the Creator"
537,Queen
538,Scorpions
538,Kanye West
538,Black Sabbath
539,Led Zeppelin
539,Queen
540,Led Zeppelin
540,Scorpions
540,Queen
540,Kendrick Lamar
541,Kendrick Lamar
542,Black Sabbath
543,2pac
543,Kendrick Lamar
544,Kanye West
545,Kanye West
546,2pac
547,"Tyler, the Creator"
547,Kanye West
547,Led Zeppelin
547,2pac
548,Queen
548,Black Sabbath
549,Kanye West
550,Kendrick Lamar
550,"Tyler, the Creator"
550,2pac
551,"Tyler, the Creator"
551,Kanye West
551,2pac
552,Scorpions
552,Led Zeppelin
553,Queen
553,Black Sabbath
554,Kanye West
554,Led Zeppelin
554,Kendrick Lamar
555,Scorpions
555,Kanye West
555,Queen
556,Queen
556,Led Zeppelin
556,Black Sabbath
557,Deep Purple
557,Scorpions
558,2pac
559,Black Sabbath
560,Queen
560,Jay-Z
561,Kendrick Lamar
561,"Tyler, the Creator"
562,Queen
562,Deep Purple
562,Black Sabbath
562,Kendrick Lamar
563,Queen
563,Kanye West
563,"Tyler, the Creator"
563,Deep Purple
564,Black Sabbath
564,Led Zeppelin
565,Kendrick Lamar
565,2pac
566,"Tyler, the Creator"
566,Jay-Z
566,2pac
566,Kendrick Lamar
567,Led Zeppelin
567,2pac
567,Kendrick Lamar
568,Led Zeppelin
568,"Tyler, the Creator"
568,Deep Purple
569,Black Sabbath
569,Kendrick Lamar
570,Kanye West
570,Led Zeppelin
571,Kanye West
571,"Tyler, the Creator"
571,Kendrick Lamar
572,Kanye West
572,Kendrick Lamar
573,"Tyler, the Creator"
573,Queen
573,Led Zeppelin
574,Led Zeppelin
575,Black Sabbath
576,Led Zeppelin
577,Queen
577,2pac
578,"Tyler, the Creator"
578,Kendrick Lamar
579,Black Sabbath
579,Scorpions
579,Led Zeppelin
580,Kendrick Lamar
580,Queen
581,"Tyler, the Creator"
581,Deep Purple
582,Queen
582,Led Zeppelin
582,2pac
582,Deep Purple
583,Deep Purple
583,Queen
583,Led Zeppelin
584,Black Sabbath
584,Queen
584,"Tyler, the Creator"
584,Deep Purple
585,Kendrick Lamar
586,Queen
587,Queen
587,"Tyler, the Creator"
587,Kendrick Lamar
588,"Tyler, the Creator"
588,Kanye West
588,Black Sabbath
588,2pac
589,Black Sabbath
589,Queen
590,Kendrick Lamar
590,Black Sabbath
591,Deep Purple
591,Queen
591,"Tyler, the Creator"
592,Queen
593,Scorpions
593,"Tyler, the Creator"
594,Queen
594,Led Zeppelin
595,Black Sabbath
595,Queen
596,Kanye West
596,Kendrick Lamar
597,Queen
597,Black Sabbath
597,Kendrick Lamar
598,Kanye West
599,Black Sabbath
600,Black Sabbath
600,Kanye West
601,Kanye West
601,Queen
602,Led Zeppelin
602,Queen
602,Black Sabbath
603,"Tyler, the Creator"
603,Kanye West
603,Queen
603,Deep Purple
604,Kendrick Lamar
604,Kanye West
604,"Tyler, the Creator"
605,Led Zeppelin
606,Led Zeppelin
606,Queen
606,Black Sabbath
606,2pac
607,Black Sabbath
607,Queen
607,Deep Purple
608,Queen
608,Black Sabbath
608,2pac
608,Jay-Z
609,"Tyler, the Creator"
610,Kendrick Lamar
610,"Tyler, the Creator"
610,Black Sabbath
610,2pac
611,Kanye West
