Transaction,Item
228,Kendrick Lamar
229,Queen
229,Scorpions
230,Kendrick Lamar
230,Black Sabbath
231,Kanye West
231,Kendrick Lamar
232,Scorpions
232,Led Zeppelin
232,Kendrick Lamar
233,Deep Purple
233,Led Zeppelin
234,Kendrick Lamar
234,Kanye West
234,Queen
234,Black Sabbath
235,2pac
235,Deep Purple
236,Queen
236,Scorpions
236,Black Sabbath
237,Led Zeppelin
237,Kanye West
237,Queen
238,Black Sabbath
238,Kanye West
239,2pac
239,Jay-Z
240,Kanye West
240,Kendrick Lamar
240,Queen
241,Queen
241,Deep Purple
242,Queen
242,Led Zeppelin
243,Queen
243,Deep Purple
243,"Tyler, the Creator"
243,Led Zeppelin
244,Scorpions
244,Kanye West
244,Queen
244,Led Zeppelin
245,Kendrick Lamar
245,Kanye West
245,Scorpions
246,Deep Purple
246,Led Zeppelin
246,Queen
247,Kanye West
247,Led Zeppelin
247,Kendrick Lamar
248,Kanye West
249,Scorpions
249,Led Zeppelin
250,Scorpions
251,Scorpions
251,Led Zeppelin
251,Black Sabbath
252,Kanye West
252,"Tyler, the Creator"
252,2pac
253,"Tyler, the Creator"
253,Kanye West
253,Kendrick Lamar
254,Kanye West
254,Kendrick Lamar
255,Jay-Z
256,Black Sabbath
256,Deep Purple
256,Led Zeppelin
257,Queen
257,Black Sabbath
258,Deep Purple
259,Kanye West
259,"Tyler, the Creator"
259,Kendrick Lamar
260,Led Zeppelin
260,Queen
260,Black Sabbath
261,Kendrick Lamar
262,Scorpions
263,Jay-Z
264,Led Zeppelin
264,Scorpions
265,Kanye West
265,2pac
266,Jay-Z
267,Black Sabbath
267,"Tyler, the Creator"
267,Queen
267,Jay-Z
268,Kendrick Lamar
268,"Tyler, the Creator"
268,Black Sabbath
269,Deep Purple
269,Black Sabbath
269,Led Zeppelin
269,Scorpions
270,Scorpions
270,"Tyler, the Creator"
271,Kendrick Lamar
271,Scorpions
272,Scorpions
272,Led Zeppelin
272,Queen
273,Kendrick Lamar
273,Led Zeppelin
274,Queen
274,2pac
274,Led Zeppelin
274,Kendrick Lamar
275,Led Zeppelin
276,Kanye West
276,Jay-Z
277,Scorpions
277,Queen
278,Black Sabbath
279,Scorpions
279,Kendrick Lamar
280,Black Sabbath
280,Led Zeppelin
281,Scorpions
282,Kendrick Lamar
282,Scorpions
283,Jay-Z
283,Led Zeppelin
283,Kendrick Lamar
284,Queen
284,Scorpions
284,Black Sabbath
285,Black Sabbath
285,Deep Purple
285,Kanye West
286,Kendrick Lamar
286,Kanye West
286,"Tyler, the Creator"
286,2pac
287,Kendrick Lamar
287,Queen
287,Black Sabbath
288,Led Zeppelin
288,Scorpions
289,Kanye West
290,Scorpions
290,Led Zeppelin
290,"Tyler, the Creator"
291,Kendrick Lamar
291,Deep Purple
291,Queen
291,Jay-Z
292,Led Zeppelin
293,Kanye West
294,Queen
294,Kanye West
295,Deep Purple
295,Kanye West
295,Scorpions
296,Kendrick Lamar
296,"Tyler, the Creator"
297,Kanye West
298,Deep Purple
299,Queen
299,Led Zeppelin
299,Kendrick Lamar
300,"Tyler, the Creator"
300,Kendrick Lamar
301,Led Zeppelin
301,Deep Purple
301,Queen
302,Led Zeppelin
302,2pac
302,Black Sabbath
303,Scorpions
303,Queen
304,Led Zeppelin
304,Queen
304,Kendrick Lamar
305,Queen
305,Led Zeppelin
305,Scorpions
306,Black Sabbath
306,Led Zeppelin
306,"Tyler, the Creator"
306,Jay-Z
307,Deep Purple
307,Led Zeppelin
307,Queen
307,Black Sabbath
308,"Tyler, the Creator"
308,Kendrick Lamar
309,Kanye West
310,Scorpions
310,Led Zeppelin
310,Queen
310,Black Sabbath
311,Queen
311,Black Sabbath
311,Deep Purple
311,Led Zeppelin
312,"Tyler, the Creator"
313,Scorpions
313,"Tyler, the Creator"
313,Black Sabbath
314,Black Sabbath
314,"Tyler, the Creator"
314,Scorpions
315,Scorpions
315,Kanye West
315,Black Sabbath
316,"Tyler, the Creator"
316,Black Sabbath
317,Queen
317,Scorpions
317,Deep Purple
317,Led Zeppelin
318,Scorpions
318,Deep Purple
318,Kendrick Lamar
318,Jay-Z
319,Queen
320,"Tyler, the Creator"
320,2pac
321,Scorpions
321,Deep Purple
321,Black Sabbath
322,"Tyler, the Creator"
322,Queen
323,Scorpions
324,Led Zeppelin
324,Scorpions
325,Black Sabbath
325,Queen
325,Scorpions
326,Deep Purple
327,Kanye West
328,Led Zeppelin
328,Queen
328,Scorpions
329,"Tyler, the Creator"
330,Queen
331,Led Zeppelin
331,2pac
331,Scorpions
332,Kanye West
332,Kendrick Lamar
332,2pac
332,Jay-Z
333,Queen
333,Led Zeppelin
333,Kendrick Lamar
334,Kanye West
335,Queen
336,Black Sabbath
336,Kanye West
336,Queen
337,Kendrick Lamar
337,"Tyler, the Creator"
338,Black Sabbath
338,Led Zeppelin
339,Kendrick Lamar
339,"Tyler, the Creator"
339,2pac
340,Queen
340,Deep Purple
340,Kendrick Lamar
340,Jay-Z
341,Led Zeppelin
342,Scorpions
342,Led Zeppelin
342,Queen
343,Queen
343,"Tyler, the Creator"
344,Jay-Z
344,"Tyler, the Creator"
344,Kendrick Lamar
345,Kendrick Lamar
345,Black Sabbath
345,Jay-Z
346,Led Zeppelin
346,Queen
346,Scorpions
347,Kendrick Lamar
347,Led Zeppelin
348,Kendrick Lamar
349,Deep Purple
350,Black Sabbath
350,Queen
350,Jay-Z
351,Kanye West
352,Kendrick Lamar
352,Kanye West
352,"Tyler, the Creator"
353,Queen
353,Led Zeppelin
353,Black Sabbath
354,Deep Purple
354,2pac
354,"Tyler, the Creator"
354,Queen
355,Queen
355,Scorpions
355,Deep Purple
355,Black Sabbath
356,Scorpions
357,Led Zeppelin
357,Scorpions
358,Queen
359,Jay-Z
359,Kanye West
359,Scorpions
360,Kanye West
360,2pac
361,Black Sabbath
361,Queen
362,Queen
362,"Tyler, the Creator"
362,Kendrick Lamar
362,Black Sabbath
363,Queen
363,Led Zeppelin
363,Kanye West
363,Black Sabbath
364,Led Zeppelin
364,Queen
364,Scorpions
365,Queen
365,Kanye West
366,Kanye West
366,Scorpions
366,"Tyler, the Creator"
366,Jay-Z
367,Scorpions
367,Queen
368,"Tyler, the Creator"
368,Kanye West
368,Scorpions
369,Kanye West
369,Kendrick Lamar
369,Scorpions
370,Scorpions
371,Scorpions
372,Deep Purple
372,Queen
372,Scorpions
373,Jay-Z
373,Kendrick Lamar
374,"Tyler, the Creator"
375,"Tyler, the Creator"
375,Kanye West
376,Queen
376,Black Sabbath
376,Scorpions
377,Kanye West
378,Queen
378,Kanye West
378,Black Sabbath
379,Queen
379,Jay-Z
380,Deep Purple
380,Led Zeppelin
381,Scorpions
381,"Tyler, the Creator"
381,Kendrick Lamar
382,Black Sabbath
383,Kendrick Lamar
383,Deep Purple
383,Kanye West
383,Black Sabbath
384,Kendrick Lamar
384,Queen
384,Black Sabbath
385,Queen
385,Kanye West
385,Black Sabbath
386,Kendrick Lamar
386,"Tyler, the Creator"
387,Led Zeppelin
387,Kanye West
387,Queen
388,Black Sabbath
388,Scorpions
389,Kendrick Lamar
389,Kanye West
389,"Tyler, the Creator"
390,Scorpions
391,Scorpions
391,Kendrick Lamar
391,Led Zeppelin
391,Queen
392,Queen
392,Deep Purple
392,Kanye West
392,Scorpions
393,Scorpions
394,Led Zeppelin
394,Scorpions
395,Black Sabbath
395,Queen
395,Scorpions
396,Deep Purple
396,Queen
397,Kendrick Lamar
398,Led Zeppelin
398,2pac
398,Scorpions
399,Kanye West
399,Kendrick Lamar
399,Queen
399,Black Sabbath
400,Jay-Z
401,Led Zeppelin
402,"Tyler, the Creator"
402,Kanye West
403,Black Sabbath
403,"Tyler, the Creator"
403,Queen
404,Scorpions
404,Led Zeppelin
405,Queen
405,Deep Purple
405,Kanye West
405,Scorpions
406,"Tyler, the Creator"
406,Kendrick Lamar
407,Kendrick Lamar
407,Black Sabbath
408,"Tyler, the Creator"
409,Kendrick Lamar
409,Kanye West
410,Deep Purple
411,Scorpions
411,Black Sabbath
412,Kendrick Lamar
412,Kanye West
412,Black Sabbath
413,Black Sabbath
413,Led Zeppelin
414,Kendrick Lamar
415,Black Sabbath
415,Kendrick Lamar
416,Queen
416,Kanye West
416,Jay-Z
416,Led Zeppelin
417,Kanye West
417,"Tyler, the Creator"
417,2pac
418,Kanye West
419,Jay-Z
419,Kanye West
420,Led Zeppelin
420,Scorpions
421,Jay-Z
421,Kanye West
421,Queen
422,Queen
422,Black Sabbath
423,Queen
423,Deep Purple
423,Led Zeppelin
424,Queen
424,Scorpions
425,2pac
426,"Tyler, the Creator"
426,Queen
427,Led Zeppelin
427,Deep Purple
427,"Tyler, the Creator"
427,Queen
428,Kendrick Lamar
428,"Tyler, the Creator"
428,Jay-Z
429,Scorpions
430,Scorpions
430,Led Zeppelin
430,Queen
431,Scorpions
431,Queen
431,Black Sabbath
432,Queen
433,Queen
434,"Tyler, the Creator"
434,Kendrick Lamar
435,Kanye West
436,"Tyler, the Creator"
436,Deep Purple
436,Kendrick Lamar
436,Led Zeppelin
437,"Tyler, the Creator"
438,Queen
438,"Tyler, the Creator"
439,Queen
440,Led Zeppelin
440,Queen
440,Scorpions
441,Black Sabbath
441,Kanye West
441,Scorpions
442,Kendrick Lamar
442,"Tyler, the Creator"
442,Jay-Z
443,Kanye West
444,Kendrick Lamar
444,Kanye West
444,2pac
444,Jay-Z
445,Queen
445,Kanye West
446,Led Zeppelin
447,Scorpions
447,Led Zeppelin
447,Queen
448,Queen
448,Scorpions
449,Kendrick Lamar
449,Queen
450,Jay-Z
450,Deep Purple
450,Kendrick Lamar
450,Led Zeppelin
451,Jay-Z
451,Kanye West
451,Kendrick Lamar
451,Led Zeppelin
452,"Tyler, the Creator"
452,Kanye West
452,Kendrick Lamar
453,Queen
453,Black Sabbath
454,Queen
455,Kanye West
455,Kendrick Lamar
455,Black Sabbath
456,2pac
456,Deep Purple
456,Queen
457,Kanye West
457,"Tyler, the Creator"
458,Kanye West
458,Queen
459,Queen
460,"Tyler, the Creator"
460,Led Zeppelin
460,Queen
460,Black Sabbath
461,Kendrick Lamar
461,Kanye West
461,Scorpions
462,"Tyler, the Creator"
462,Kanye West
462,Scorpions
463,Kendrick Lamar
464,Led Zeppelin
464,Black Sabbath
465,Scorpions
465,Kanye West
465,Queen
466,Deep Purple
466,Kendrick Lamar
467,Queen
467,Kendrick Lamar
468,Queen
468,Led Zeppelin
468,Scorpions
469,Queen
469,Led Zeppelin
469,"Tyler, the Creator"
470,Led Zeppelin
471,Scorpions
471,Jay-Z
471,Black Sabbath
472,"Tyler, the Creator"
473,Kendrick Lamar
474,Scorpions
474,Kanye West
474,Kendrick Lamar
474,Queen
475,"Tyler, the Creator"
475,Scorpions
476,Scorpions
476,Led Zeppelin
477,Scorpions
477,Kanye West
478,2pac
478,Queen
478,Kendrick Lamar
479,Queen
479,Led Zeppelin
479,Kendrick Lamar
480,Jay-Z
481,"Tyler, the Creator"
481,Kanye West
481,Kendrick Lamar
481,Scorpions
482,"Tyler, the Creator"
482,Black Sabbath
483,Jay-Z
484,Kanye West
484,"Tyler, the Creator"
484,Jay-Z
485,Kanye West
485,Kendrick Lamar
486,Kanye West
486,Led Zeppelin
486,Scorpions
487,Led Zeppelin
487,Kanye West
487,2pac
488,Led Zeppelin
488,Queen
489,Led Zeppelin
489,Black Sabbath
490,Scorpions
490,Queen
491,Led Zeppelin
492,Queen
492,Jay-Z
493,Scorpions
493,Led Zeppelin
493,Kanye West
493,2pac
494,Black Sabbath
495,Queen
495,"Tyler, the Creator"
496,"Tyler, the Creator"
496,Deep Purple
497,Kanye West
497,"Tyler, the Creator"
497,Kendrick Lamar
498,Scorpions
498,Led Zeppelin
498,Kendrick Lamar
498,Jay-Z
499,"Tyler, the Creator"
499,Kanye West
499,Jay-Z
500,Queen
500,2pac
500,Scorpions
501,Kendrick Lamar
501,Led Zeppelin
501,Jay-Z
502,Led Zeppelin
503,Kanye West
503,Kendrick Lamar
504,Jay-Z
504,Kanye West
504,2pac
505,Scorpions
506,Led Zeppelin
506,Kanye West
506,Queen
506,Scorpions
507,Kanye West
507,Deep Purple
507,Jay-Z
508,Scorpions
508,"Tyler, the Creator"
508,Queen
509,"Tyler, the Creator"
509,Kanye West
509,2pac
510,Led Zeppelin
510,Black Sabbath
510,Deep Purple
510,Scorpions
511,"Tyler, the Creator"
511,Deep Purple
511,Led Zeppelin
512,Queen
512,Led Zeppelin
512,"Tyler, the Creator"
512,2pac
513,Queen
513,Scorpions
514,Scorpions
515,Led Zeppelin
515,Kanye West
515,Queen
516,Queen
516,Led Zeppelin
517,Deep Purple
517,Queen
518,Black Sabbath
519,Kendrick Lamar
519,Jay-Z
520,Queen
520,Black Sabbath
520,Scorpions
521,Black Sabbath
521,Queen
521,Kendrick Lamar
522,Kanye West
522,Jay-Z
523,Queen
523,Led Zeppelin
523,Scorpions
524,Black Sabbath
524,Led Zeppelin
524,Scorpions
525,Kendrick Lamar
525,Kanye West
525,"Tyler, the Creator"
525,Scorpions
526,Jay-Z
526,Kendrick Lamar
527,Black Sabbath
527,Queen
527,Kendrick Lamar
527,Jay-Z
528,Queen
528,Led Zeppelin
528,Scorpions
529,Deep Purple
529,Led Zeppelin
529,Scorpions
530,Black Sabbath
530,Led Zeppelin
530,2pac
531,Queen
531,Deep Purple
532,Scorpions
532,Led Zeppelin
532,Kendrick Lamar
532,Black Sabbath
533,Scorpions
534,Queen
534,"Tyler, the Creator"
534,Jay-Z
534,Scorpions
535,Jay-Z
536,Deep Purple
537,Led Zeppelin
538,Jay-Z
539,"Tyler, the Creator"
539,Kanye West
540,Queen
540,Scorpions
541,Kanye West
541,"Tyler, the Creator"
541,2pac
542,Kendrick Lamar
543,Kendrick Lamar
543,Queen
544,Jay-Z
544,Kanye West
545,Kanye West
545,"Tyler, the Creator"
545,Kendrick Lamar
545,Scorpions
546,Kendrick Lamar
546,Scorpions
547,Jay-Z
547,Kanye West
547,2pac
547,Queen
548,Led Zeppelin
549,Kendrick Lamar
549,Kanye West
549,Queen
550,"Tyler, the Creator"
550,Kendrick Lamar
551,Scorpions
551,Led Zeppelin
552,Jay-Z
553,"Tyler, the Creator"
553,Kendrick Lamar
553,Jay-Z
554,Scorpions
554,Kanye West
555,"Tyler, the Creator"
556,Scorpions
556,Black Sabbath
557,Black Sabbath
558,Queen
558,Black Sabbath
558,Led Zeppelin
558,Scorpions
559,Deep Purple
559,Scorpions
560,Scorpions
560,Led Zeppelin
560,Queen
561,Scorpions
561,Kendrick Lamar
561,Queen
562,Jay-Z
562,Kendrick Lamar
563,Led Zeppelin
563,"Tyler, the Creator"
564,Jay-Z
564,Kanye West
564,Kendrick Lamar
565,Kanye West
565,Scorpions
565,Black Sabbath
566,Kanye West
567,Kanye West
567,Kendrick Lamar
568,Kanye West
569,Black Sabbath
569,2pac
570,Queen
571,Kendrick Lamar
571,Deep Purple
571,2pac
571,Jay-Z
572,Kanye West
572,Queen
572,Black Sabbath
573,Led Zeppelin
573,"Tyler, the Creator"
573,Queen
573,Scorpions
574,"Tyler, the Creator"
574,Scorpions
575,Kanye West
576,Scorpions
576,Kanye West
577,Scorpions
577,Led Zeppelin
577,Black Sabbath
578,Scorpions
578,Kanye West
579,Kanye West
579,Queen
579,Scorpions
580,Kanye West
581,"Tyler, the Creator"
581,Kendrick Lamar
582,Kendrick Lamar
582,Deep Purple
582,Kanye West
582,Queen
583,Kanye West
583,Deep Purple
583,"Tyler, the Creator"
584,Led Zeppelin
585,Led Zeppelin
585,Kanye West
585,Black Sabbath
586,Kendrick Lamar
586,Kanye West
586,Queen
586,Jay-Z
587,Jay-Z
587,Kanye West
588,Black Sabbath
588,Led Zeppelin
588,Scorpions
589,Kendrick Lamar
590,Kendrick Lamar
590,Jay-Z
591,Deep Purple
591,Led Zeppelin
591,Jay-Z
592,Queen
592,Led Zeppelin
592,Kendrick Lamar
592,Black Sabbath
593,2pac
593,Kendrick Lamar
594,Kendrick Lamar
594,2pac
595,Kanye West
595,2pac
595,Queen
596,Queen
596,Kanye West
596,"Tyler, the Creator"
597,Kanye West
597,Kendrick Lamar
598,2pac
598,Kendrick Lamar
599,Black Sabbath
600,Led Zeppelin
601,Scorpions
601,Queen
602,"Tyler, the Creator"
603,Kendrick Lamar
603,Deep Purple
603,Kanye West
604,Queen
604,Led Zeppelin
604,Scorpions
605,Scorpions
605,Queen
606,Led Zeppelin
607,Scorpions
608,Kanye West
608,Scorpions
608,Kendrick Lamar
608,Jay-Z
609,Queen
609,Deep Purple
609,Black Sabbath
610,Jay-Z
610,Kanye West
610,Kendrick Lamar
611,Jay-Z
612,Kanye West
612,"Tyler, the Creator"
612,Kendrick Lamar
613,Led Zeppelin
613,Queen
614,Kanye West
615,Kendrick Lamar
615,Queen
615,Jay-Z
616,Scorpions
616,Queen
617,Kendrick Lamar
618,Kanye West
618,Black Sabbath
619,Led Zeppelin
620,Jay-Z
621,Jay-Z
621,Kendrick Lamar
622,Led Zeppelin
622,Queen
622,Black Sabbath
623,"Tyler, the Creator"
623,Kendrick Lamar
623,Scorpions
624,Kanye West
624,Queen
624,Kendrick Lamar
624,Black Sabbath
625,Black Sabbath
625,Queen
625,Scorpions
626,Led Zeppelin
626,Kanye West
627,Kendrick Lamar
628,"Tyler, the Creator"
629,Jay-Z
629,Kanye West
630,Queen
631,"Tyler, the Creator"
631,Kanye West
631,Kendrick Lamar
632,Kanye West
632,Kendrick Lamar
632,Scorpions
633,Queen
634,Black Sabbath
634,Scorpions
634,Deep Purple
634,Led Zeppelin
635,Led Zeppelin
636,Kanye West
637,Kanye West
637,"Tyler, the Creator"
637,Scorpions
638,Scorpions
638,Queen
638,Black Sabbath
639,Jay-Z
640,Scorpions
